expression,count
donald trump,7172
kamala harris,6190
trump is,4069
for trump,1999
trump and,1536
that trump,1332
the trump,1130
of trump,1085
for kamala,1029
trump has,902
. trump,870
for donald,800
to trump,793
trump to,666
trump will,642
a trump,620
harris is,587
with trump,576
for harris,549
trump voters,543
harris and,504
trump administration,493
trump in,479
trump was,472
trump supporters,459
harris for,455
on trump,429
about trump,412
against trump,390
and trump,368
if trump,350
normalizing trump,332
trump wants,314
trump won,308
that donald,304
of donald,300
trump for,293
like trump,292
harris campaign,287
the harris,282
trump supporter,275
what trump,268
harris to,267
in trump,264
vp harris,261
elect donald,257
vp kamala,256
trump would,255
trump over,250
. kamala,246
president kamala,246
-elect donald,244
president-elect donald,243
as trump,239
from trump,236
donald j,235
trump because,234
praises trump,233
trump as,232
fuck trump,231
support trump,231
think trump,227
harris was,226
than trump,225
to kamala,219
to donald,214
chosen trump,213
that kamala,213
when trump,211
harris lost,209
harris has,208
trump isn’t,203
is trump,198
president trump,197
by trump,195
about kamala,194
harris or,191
that harris,188
trump says,179
of kamala,174
trump picks,171
trump should,171
trump voter,170
kamala is,169
j. trump,164
about donald,162
how trump,160
elect trump,159
if kamala,159
trump on,158
attacking kamala,151
trump presidency,150
trump does,150
trump or,150
while trump,149
trump isn't,148
why trump,148
trump said,147
trump picked,146
trump just,144
credit. kamala,144
trump campaign,141
fuck donald,136
trump cabinet,135
know trump,133
but trump,131
trump a,130
endorses kamala,129
endorsing kamala,127
trump wins,126
harris will,126
and kamala,125
harris in,124
president donald,124
after trump,122
and harris,121
endorse harris,121
trump did,120
with donald,117
".

trump",116
against donald,115
at trump,114
trump can,112
harris should,111
endorse kamala,109
with kamala,106
of harris,106
trump the,105
never trump,102
trump admin,101
trump at,101
kamala and,100
up trump,99
-elect trump,98
president harris,97
under trump,97
trump are,97
harris because,97
harris would,96
s trump,96
endorsed kamala,96
trump gets,95
trump could,95
president-elect trump,95
trump announces,95
see trump,94
trump nominates,94
echoing donald,92
harris as,92
trump doesn't,91
nitpicking kamala,91
stop trump,91
everything trump,90
second trump,90
mr. trump,88
before trump,87
incoming trump,85
see kamala,85
harris by,84
on kamala,84
trump but,84
kamala was,83
.  trump,82
wanted kamala,82
and donald,81
want trump,81
new trump,80
like donald,79
the kamala,79
trump from,77
trump winning,77
because trump,77
harris wins,77
. donald,77
if harris,76
. harris,76
harris just,76
letting trump,76
if donald,75
trump with,75
trump got,74
trump rally,74
harris when,73
trump era,73
harris did,73
trump doesn’t,72
's trump,72
why kamala,71
hate trump,71
trump tag,70
trump nominated,70
harris ran,69
trump being,69
trump win,68
every trump,68
harris on,68
let trump,67
j trump,67
think harris,67
kamala to,67
be trump,66
who trump,66
trump https,66
trump 2.0,66
over trump,65
so trump,65
think kamala,64
all trump,64
on donald,63
this trump,60
these trump,60
calling trump,60
since trump,59
".

kamala",59
trump now,59
trump that,59
anonymous trump,59
lara trump,58
harris voters,58
called kamala,58
". 

trump",57
trump really,57
hope trump,56
trump nominees,55
says trump,54
elect kamala,54
a harris,54
time trump,53
to harris,52
trump term,52
ad kamala,52
mary trump,52
trump had,51
allow trump,51
why harris,50
named donald,50
watching trump,50
trump takes,49
trump jr,49
thought trump,49
harris supporters,49
normalize trump,49
harris administration,48
like kamala,48
not trump,48
endorses harris,48
miss kamala,48
about harris,48
trump by,47
trump when,47
trump may,47
it's trump,47
is donald,47
is kamala,47
kamala lost,47
how kamala,47
believe trump,47
trump than,47
trump names,47
trump team,46
".
trump",46
you donald,46
voting kamala,46
trump so,45
trump transition,45
trump makes,45
as donald,45
than donald,44
another trump,44
trump ambassador,44
until trump,44
from kamala,44
harris enjoyed,43
by donald,43
trump nominee,43
voted trump,43
trump plans,43
harris https,43
thinks trump,43
ag kamala,42
now trump,42
with harris,42
harris are,41
kamala 2024,41
trump knows,41
trump must,41
trump like,41
know donald,41
supporting trump,41
kamala post,41
think donald,41
a kamala,41
trump this,41
trump goes,40
harris didn't,40
harris had,40
or trump,40
endorsed harris,40
support kamala,40
trump choosing,40
harris needs,39
get trump,39
trump pick,39
vote harris,39
trump appoints,39
kamala should,39
trump who,39
trump lied,39
trump needs,39
trump himself,39
trump won't,38
said trump,38
promoted trump,38
trump after,38
beat trump,38
way trump,38
calls trump,37
harris won,37
out trump,37
on harris,37
harris said,37
former trump,37
where trump,37
fucker trump,36
called trump,36
"messaging.

kamala",36
trump back,36
what donald,36
trump looks,35
any trump,35
trump told,35
kamala has,35
trump not,35
trump can't,35
kamala for,35
want kamala,35
trump might,35
trump taps,35
trump tower,35
trump announced,35
first trump,35
trump victory,34
loved trump,34
trump made,34
give trump,34
trump means,34
trump i,34
trump thinks,34
supports trump,34
harris must,34
harris can,34
harris didn’t,34
trump loves,33
trump regime,33
trump out,33
saying trump,33
trump appointments,33
into trump,33
trump hates,33
trump since,33
the donald,33
defeat trump,32
oppose donald,32
thee trump,32
mr trump,32
trump ever,32
trump university,32
supported trump,31
donald john,31
john trump,31
say trump,31
harris at,31
take trump,31
trump calls,31
normalize donald,31
get harris,31
harris elected,31
country. trump,31
are trump,30
trump again,30
make trump,30
hate donald,30
trump picking,30
t trump,30
when donald,30
kamala won,30
trump elected,30
when kamala,30
kamala will,30
felon trump,30
against kamala,29
will trump,29
trump never,29
from harris,29
have trump,29
kamala in,29
but kamala,29
trump tariffs,28
sure trump,28
believes trump,28
trump appointees,28
trump appointed,28
melania trump,28
fucking trump,28
even trump,28
how donald,28
trump be,28
between trump,28
things trump,28
felon donald,28
"trump

https",28
you trump,27
s kamala,27
".

donald",27
said kamala,27
anti trump,27
harris the,26
trashing trump,26
at kamala,26
harris makes,26
bad trump,26
trump still,26
day donald,26
supporting kamala,26
than harris,26
invited trump,26
kamala ran,26
support harris,25
no trump,25
harris but,25
tell trump,25
like harris,25
harris not,25
trump biographer,25
kamala had,25
people trump,25
in donald,25
"anonymous

trump",25
let kamala,25
was trump,25
trump dance,24
trump world,24
kamala wins,24
trump coming,24
some trump,24
oppose trump,24
harris pleads,24
harris that,24
’s trump,24
harris rally,24
vote trump,24
trump supporting,24
say donald,24
trump hasn’t,24
harris a,24
team trump,24
trump confirms,23
electing donald,23
trump republicans,23
harris now,23
trump didn't,23
right. trump,23
as kamala,23
endorsing harris,23
trump calling,23
from donald,23
call trump,23
once trump,23
during trump,23
trump represents,23
trump you,23
harris who,23
trump keeps,23
". 

kamala",23
trump people,23
believe donald,23
supporting donald,22
donald is,22
trump have,22
trump nominating,22
harris wants,22
reason trump,22
trump get,22
trump policies,22
fight trump,22
"trump
https",22
". 
trump",22
trump doing,22
trump white,22
hope kamala,22
trump ran,22
trump once,22
trump touches,22
support donald,22
harris walz,22
call donald,21
trump lost,21
trump do,21
trump continues,21
trump can’t,21
capital.  trump,21
does trump,21
me trump,21
harris endorsement,21
trump today,21
or harris,21
electing trump,21
thing trump,21
did trump,21
then trump,21
kamala would,21
by kamala,21
normalizing donald,21
reject trump,21
resist trump,20
trump more,20
what kamala,20
harris over,20
questioning kamala,20
trump actually,20
trump election,20
my trump,20
trump didn’t,20
helped trump,20
maga trump,20
harris today,20
wanted trump,20
trump loses,20
against harris,20
trump of,20
under donald,20
trump 2024,20
trump belongs,20
trump saying,20
average trump,20
harris does,20
trump tells,20
trump chose,20
