candidate,phrase,type,post_count,example_1,example_2,example_3
Trump,#trump,hashtag,936,"Trump’s Effort to Kill Off #MeToo—And the Women Who Help Him
#Trump","Election 2024: Presidential results
Former President Donald Trump will defeat Vice President Kamala Harris in a historic political comeback, recapturing the White House following an election loss in 2020, CNN projects.
#Trump#EleicoesEUA#Trump#SuperStarHongjoongDay
https://anonymous","Dus June Kii Raat 2024 Hindi Season 2
#Casa #Jean #trump#Estados #Biden#RoçaAFazenda#Cuba#Putin#MAGA#Musk
streamnscreen.blogspot.com"
Harris,#kamalaharris,hashtag,297,"“Kamala, you didn’t just run—you thundered. You made racism flinch, sexism stammer, and the sky crack open for the next. Even without the win, you rose, showed us how to carve a path with nothing but grit and grace. The climb is ours now, and we will not stop.”©️MustafaSantiagoAli #Poem #KamalaHarris","I miss #KamalaHarris and #TimWalz 

Their jokes, the joy, the ""mind your own damm business"" comments. 

Just realized I miss it. 

#Resistance 
#FBR",Heroine of the day: #KamalaHarris
Trump,#fucktrump,hashtag,208,#FuckTrump #MAGA #MAGAts #MAGACultMorons,#FuckTrump #MAGA #MAGAts #MAGACultMorons,"I only wish that tRumpublicans and the Conservative Christians would believe in this philosophy. 
#transgenderrights #fucktrump #fuckproject2025"
Trump,#donaldtrump,hashtag,187,"Who will become the next US President? The one who “worked” there when it was actually closed or the one who worked there to pay for her student loan?

https://anonymous

#Obama #KamalaHarris #DonaldTrump #McDonalds","THAT'S RIGHT!!! WE WANT 'NOTHING' TO DO WITH THEM! THEY'RE THE ENEMY AS FAR AS I'M CONCERNED!!

Charles Barkley agrees it’s ‘crazy’ Kamala voters want nothing to do with Trump voters #DonaldTrump #KamalaHarris #Bluestates #Basketball #Presidentialelection
https://anonymous","KAMALA HARRIS 2024!!!! 
🇺🇲 ❤️

Kamala Harris counters Trump's message that the president should have a say in Fed decisions #DonaldTrump #KamalaHarris #Interestrates #Presidentialelection
https://anonymous"
Harris,#harriswalz2024,hashtag,165,"Not much of a meme poster but this one hits the mark. 

#HarrisWalz2024","https://anonymous

#HarrisWalz2024 
#DemocracyMatters",#WeBackKamalaHarris🇺🇲🌊💙🇵🇷  #HarrisWalz2024 🇺🇲🌊💙🇵🇷🇺🇦🇯🇴🤲🏿🌿 #EbonyAmericaVoteBlue2024🌊💙🌊💙 #WomansRightToChoose💪🏾💅🏾#TaylorSwiftForKamalaWalz2024 🐈💅🏾💪🏾
Harris,#kamala,hashtag,132,We needed to have #msm #celebration of #JoeBiden #Kamala instead of climbing up Trumps butt parroting him constantly. You will never see them do this with #DoofusDrumpf.,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans
Harris,#harris,hashtag,86,"Wait, was Kamala going to have sex offenders and traffickers in her cabinet? Was she going to tariff goods to the point that companies would slash thousands of jobs and raise prices before she took office? 

She's supposed to be ""just as bad,"" right?

#Kamala #Harris #USA #Trump #RIPtoMyWallet #sad","CNN’s Kaitlin Collins: “With this speech and her earlier call conceding the race, #Harris is affording #Trump what he did not afford to the incoming Biden-Harris administration: a commitment to a peaceful transition of power and acknowledgment of a legitimate victory.”",""" #Kamala #Harris Goes BOSS: Calls #Trump THE F WORD!"" 

https://anonymous #harriswalz #kamalaharris #harriswalz2024 #voteblue #vote"
Trump,#nevertrump,hashtag,70,"Happy Friday friends 👋

If you want to meet more more #NeverTrump friends drop a 💙
I random boost my followers when I see they participate following people to make this process work.

I will post a schedule later for our combined parties tonight so check back! 🎉

#Trumpless #signalBoost
Repost","Happy Thursday friends 👋
If you want to meet more #NeverTrump friends drop a 💙

I random boost for participating.
Have an awesome day!

#NoDemUnder1k
#BlueStormBoosts
#TrueBlueResisters
#Trumpless",I don’t care if I’m wrong about everything forever it’s #nevertrump
Trump,#trump2024,hashtag,65,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,"📡⚡️ Trending on X:

Statement from Doug Emhoff about Kamala Harris. 

#MAGA #MAHA #Trump2024"
Harris,#harriswalz,hashtag,56,#HarrisWalz,There is only one sensible choice in this election and it is a vote to save democracy. I have already voted for #HarrisWalz and blue down ballot.,"#Kamala's CRUSHING It! What To Expect Across The Country Tonight

https://anonymous #harriswalz2024 #vote #electionday #election2024 #voteblue #harriswalz #trump"
