example,post,target,requested_tokens,available_control_tokens,removed_tokens,shortfall_tokens,exact_match,seed
0,0,Trump,1,1,1,0,True,1
0,1,Trump,1,37,1,0,True,1
0,2,Trump,2,29,2,0,True,1
0,3,Trump,1,8,1,0,True,1
0,4,Trump,2,21,2,0,True,1
0,5,Trump,1,17,1,0,True,1
0,6,Trump,4,53,4,0,True,1
0,7,Trump,0,13,0,0,True,1
1,0,Trump,0,10,0,0,True,1
1,1,Trump,0,8,0,0,True,1
1,2,Trump,1,8,1,0,True,1
1,3,Trump,2,18,2,0,True,1
1,4,Trump,0,10,0,0,True,1
1,5,Trump,1,31,1,0,True,1
1,6,Trump,0,2,0,0,True,1
1,7,Trump,0,16,0,0,True,1
1,8,Trump,0,16,0,0,True,1
2,0,Trump,2,28,2,0,True,1
2,1,Trump,2,30,2,0,True,1
2,2,Trump,2,46,2,0,True,1
2,3,Trump,1,30,1,0,True,1
2,4,Trump,2,51,2,0,True,1
2,5,Trump,0,3,0,0,True,1
2,6,Trump,0,6,0,0,True,1
3,0,Trump,2,34,2,0,True,1
3,1,Trump,1,12,1,0,True,1
3,2,Trump,1,42,1,0,True,1
3,3,Trump,1,6,1,0,True,1
3,4,Trump,1,10,1,0,True,1
3,5,Trump,0,4,0,0,True,1
3,6,Trump,0,22,0,0,True,1
3,7,Trump,0,7,0,0,True,1
3,8,Trump,1,8,1,0,True,1
4,0,Trump,1,4,1,0,True,1
4,1,Trump,0,46,0,0,True,1
4,2,Trump,1,21,1,0,True,1
4,3,Trump,0,10,0,0,True,1
4,4,Trump,2,24,2,0,True,1
4,5,Trump,1,14,1,0,True,1
4,6,Trump,2,13,2,0,True,1
4,7,Trump,1,5,1,0,True,1
5,0,Trump,1,9,1,0,True,1
5,1,Trump,2,16,2,0,True,1
5,2,Trump,1,4,1,0,True,1
5,3,Trump,2,1,1,1,False,1
5,4,Trump,1,14,1,0,True,1
5,5,Trump,1,8,1,0,True,1
6,0,Trump,2,4,2,0,True,1
6,1,Trump,1,10,1,0,True,1
6,2,Trump,3,18,3,0,True,1
6,3,Trump,2,15,2,0,True,1
6,4,Trump,2,16,2,0,True,1
6,5,Trump,2,11,2,0,True,1
6,6,Trump,2,22,2,0,True,1
6,7,Trump,1,19,1,0,True,1
6,8,Trump,2,31,2,0,True,1
7,0,Trump,2,11,2,0,True,1
7,1,Trump,1,17,1,0,True,1
7,2,Trump,1,20,1,0,True,1
7,3,Trump,2,11,2,0,True,1
7,4,Trump,1,5,1,0,True,1
7,5,Trump,0,4,0,0,True,1
7,6,Trump,1,4,1,0,True,1
7,7,Trump,0,2,0,0,True,1
8,0,Trump,1,10,1,0,True,1
8,1,Trump,1,2,1,0,True,1
8,2,Trump,1,6,1,0,True,1
8,3,Trump,0,10,0,0,True,1
8,4,Trump,1,4,1,0,True,1
8,5,Trump,1,9,1,0,True,1
8,6,Trump,1,8,1,0,True,1
8,7,Trump,1,17,1,0,True,1
9,0,Trump,1,8,1,0,True,1
9,1,Trump,1,20,1,0,True,1
9,2,Trump,0,1,0,0,True,1
9,3,Trump,1,7,1,0,True,1
9,4,Trump,1,23,1,0,True,1
9,5,Trump,1,6,1,0,True,1
9,6,Trump,2,26,2,0,True,1
9,7,Trump,0,14,0,0,True,1
10,0,Trump,1,8,1,0,True,1
10,1,Trump,1,0,0,1,False,1
10,2,Trump,1,8,1,0,True,1
10,3,Trump,1,13,1,0,True,1
10,4,Trump,1,13,1,0,True,1
10,5,Trump,1,3,1,0,True,1
10,6,Trump,1,7,1,0,True,1
11,0,Trump,1,32,1,0,True,1
11,1,Trump,0,4,0,0,True,1
11,2,Trump,2,58,2,0,True,1
11,3,Trump,1,8,1,0,True,1
11,4,Trump,0,7,0,0,True,1
11,5,Trump,1,4,1,0,True,1
11,6,Trump,1,20,1,0,True,1
12,0,Trump,1,32,1,0,True,1
12,1,Trump,1,26,1,0,True,1
12,2,Trump,2,6,2,0,True,1
12,3,Trump,1,6,1,0,True,1
12,4,Trump,0,13,0,0,True,1
12,5,Trump,1,12,1,0,True,1
12,6,Trump,0,28,0,0,True,1
12,7,Trump,0,7,0,0,True,1
13,0,Trump,1,32,1,0,True,1
13,1,Trump,1,1,1,0,True,1
13,2,Trump,1,30,1,0,True,1
13,3,Trump,0,4,0,0,True,1
13,4,Trump,0,4,0,0,True,1
13,5,Trump,1,7,1,0,True,1
13,6,Trump,2,6,2,0,True,1
13,7,Trump,0,8,0,0,True,1
14,0,Trump,1,58,1,0,True,1
14,1,Trump,1,12,1,0,True,1
14,2,Trump,1,15,1,0,True,1
14,3,Trump,2,44,2,0,True,1
14,4,Trump,2,52,2,0,True,1
14,5,Trump,2,50,2,0,True,1
14,6,Trump,2,9,2,0,True,1
15,0,Trump,0,3,0,0,True,1
15,1,Trump,0,15,0,0,True,1
15,2,Trump,0,9,0,0,True,1
15,3,Trump,1,7,1,0,True,1
15,4,Trump,0,2,0,0,True,1
15,5,Trump,1,17,1,0,True,1
15,6,Trump,0,4,0,0,True,1
15,7,Trump,2,15,2,0,True,1
16,0,Trump,1,32,1,0,True,1
16,1,Trump,1,7,1,0,True,1
16,2,Trump,1,0,0,1,False,1
16,3,Trump,2,6,2,0,True,1
16,4,Trump,2,17,2,0,True,1
16,5,Trump,2,1,1,1,False,1
16,6,Trump,1,17,1,0,True,1
16,7,Trump,2,15,2,0,True,1
17,0,Trump,2,4,2,0,True,1
17,1,Trump,2,13,2,0,True,1
17,2,Trump,2,6,2,0,True,1
17,3,Trump,1,7,1,0,True,1
17,4,Trump,1,2,1,0,True,1
17,5,Trump,0,0,0,0,True,1
17,6,Trump,0,0,0,0,True,1
18,0,Trump,1,16,1,0,True,1
18,1,Trump,1,11,1,0,True,1
18,2,Trump,1,8,1,0,True,1
18,3,Trump,4,34,4,0,True,1
18,4,Trump,2,20,2,0,True,1
18,5,Trump,14,23,14,0,True,1
19,0,Trump,0,5,0,0,True,1
19,1,Trump,1,1,1,0,True,1
19,2,Trump,0,5,0,0,True,1
19,3,Trump,1,6,1,0,True,1
19,4,Trump,0,5,0,0,True,1
19,5,Trump,1,17,1,0,True,1
19,6,Trump,1,6,1,0,True,1
19,7,Trump,2,7,2,0,True,1
20,0,Trump,0,25,0,0,True,1
20,1,Trump,1,54,1,0,True,1
20,2,Trump,1,16,1,0,True,1
20,3,Trump,0,43,0,0,True,1
20,4,Trump,1,21,1,0,True,1
20,5,Trump,1,56,1,0,True,1
20,6,Trump,1,13,1,0,True,1
20,7,Trump,2,20,2,0,True,1
21,0,Trump,1,4,1,0,True,1
21,1,Trump,0,28,0,0,True,1
21,2,Trump,3,12,3,0,True,1
21,3,Trump,1,2,1,0,True,1
21,4,Trump,1,23,1,0,True,1
21,5,Trump,1,8,1,0,True,1
21,6,Trump,1,18,1,0,True,1
22,0,Trump,3,50,3,0,True,1
22,1,Trump,1,9,1,0,True,1
22,2,Trump,1,11,1,0,True,1
22,3,Trump,1,13,1,0,True,1
