original_surface,masked_surface,count
Trump,requ,1874
Kamala Harris,requ,592
Donald Trump,requ,498
Harris,requ,299
Kamala,requ,212
trump,requ,200
#Trump,#requ,75
#KamalaHarris,#requ,52
TRUMP,requ,45
#trump,#requ,40
Donald,requ,40
#DonaldTrump,#requ,37
Trumps,requs,34
#FuckTrump,#Fuckrequ,28
harris,requ,21
kamala harris,requ,20
KAMALA HARRIS,requ,19
Donald J. Trump,requ,17
kamala,requ,17
#NeverTrump,#Neverrequ,15
#HarrisWalz2024,#requWalz2024,14
donald trump,requ,14
#donaldtrump,#requ,12
DONALD TRUMP,requ,11
#Kamala,#requ,10
#BidenHarris2024,#Bidenrequ2024,8
Trumpism,requism,8
#Harris,#requ,7
#HarrisWalz,#requWalz,7
#Trump2024,#requ2024,7
#trump2024,#requ2024,7
tRump,requ,7
trumps,requs,7
#tRump,#requ,6
Trumpers,requers,6
#CrookedDonaldTrump,#Crookedrequ,5
#fucktrump,#fuckrequ,5
#kamalaharris,#requ,5
Harris-Walz,requ-Walz,5
KAMALA,requ,5
anti-Trump,anti-requ,5
pro-Kamala,pro-requ,5
#ConvictedFelonTrump,#ConvictedFelonrequ,4
#FireKamala,#Firerequ,4
#kamala,#requ,4
HARRIS,requ,4
Trumpy,requy,4
#Harris2024,#requ2024,3
#KamalaHarris2024,#requ2024,3
#KamalaWalz,#requWalz,3
#PutinOwnsTrump,#PutinOwnsrequ,3
#TRUMP,#requ,3
#TrumpLies,#requLies,3
#kamala2028,#requ2028,3
#trumpPresident,#requPresident,3
DonoldTrump,Donoldrequ,3
TRUMPFLATION,requFLATION,3
Trump-voting,requ-voting,3
Trumpists,requists,3
#Harris-Walz,#requ-Walz,2
#Kamala2024,#requ2024,2
#Nevertrump,#Neverrequ,2
#ResistTrump,#Resistrequ,2
#TrumpCabinet,#requCabinet,2
#TrumpCheated,#requCheated,2
#TrumpDarkness,#requDarkness,2
#TrumpIsWeird,#requIsWeird,2
#TrumpVsHarris,#requVsrequ,2
#TrumpWon,#requWon,2
#Trumpless,#requless,2
#VoteHarrisWalzBlue,#VoterequWalzBlue,2
#harris2024,#requ2024,2
#trumpSociopath,#requSociopath,2
#trumpisinsane,#requisinsane,2
#vpharris,#vprequ,2
Biden-Harris,Biden-requ,2
Donald trump,requ,2
Trump-,requ-,2
Trumper,requer,2
Trumpian,requian,2
donald,requ,2
pro-Trump,pro-requ,2
trumpers,requers,2
trumpism,requism,2
#AdolfTRUMP,#Adolfrequ,1
#AskKamalaToRecount,#AskrequToRecount,1
#BidenHarris,#Bidenrequ,1
#BidenHarrisAdministration,#BidenrequAdministration,1
#CriminalTrump,#Criminalrequ,1
#Donald,#requ,1
#DonaldJTrump,#requJrequ,1
#DonaldtRump,#requ,1
#DumpTrump,#Dumprequ,1
#ElonTrump,#Elonrequ,1
#FelonTrump,#Felonrequ,1
#GarbageTrump,#Garbagerequ,1
#HarrisRally,#requRally,1
#HarrisWalzInterview,#requWalzInterview,1
#HarrisWalzRally,#requWalzRally,1
#Harris_Walz2024,#requ_Walz2024,1
#HoldConvictedFelonTrumpAccountable,#HoldConvictedFelonrequAccountable,1
#KamalaDefendsDemocracy,#requDefendsDemocracy,1
#KamalaDeviHarris,#requDevirequ,1
#KamalaHarris4President,#requ4President,1
#KamalaHarrisForThePeople,#requForThePeople,1
#KamalaHarrisRally,#requRally,1
#KamalaHarrisSNL,#requSNL,1
#LoserTrump,#Loserrequ,1
#NeverTrumpers,#Neverrequers,1
#NoPlatformKamala,#NoPlatformrequ,1
#PresidentElectDonaldJTrump,#PresidentElectrequJrequ,1
#RepublicansForHarris,#RepublicansForrequ,1
#SoreLoserTrump,#SoreLoserrequ,1
#StopTrump,#Stoprequ,1
#TraitorTrump,#Traitorrequ,1
#Trump2,#requ2,1
#Trump666,#requ666,1
#TrumpCult,#requCult,1
#TrumpDecisions,#requDecisions,1
#TrumpGrabinet,#requGrabinet,1
#TrumpHasNoMandate,#requHasNoMandate,1
#TrumpHatesTheMilitary,#requHatesTheMilitary,1
#TrumpIsDangerous,#requIsDangerous,1
#TrumpIsDone,#requIsDone,1
#TrumpIsNotFitForOffice,#requIsNotFitForOffice,1
#TrumpIsNotMyPresident,#requIsNotMyPresident,1
#TrumpSucks,#requSucks,1
#TrumpSupporters,#requSupporters,1
#TrumpTAX,#requTAX,1
#TrumpTariffs,#requTariffs,1
#TrumpTreason,#requTreason,1
#TrumpWillNeverBeMyPresident,#requWillNeverBeMyPresident,1
#TrumpWillSaveAmerica,#requWillSaveAmerica,1
#TrumpisProject2025,#requisProject2025,1
#TrumpsDEI,#requsDEI,1
#TrumpsPicks,#requsPicks,1
#VetsAgainstTrump,#VetsAgainstrequ,1
#VicePresidentHarris,#VicePresidentrequ,1
#VoteHarrisWalz2024,#VoterequWalz2024,1
#WhiteDudes4Harris,#WhiteDudes4requ,1
#dictator_trump,#dictator_requ,1
#donaldjttrumpismypresident,#requjtrequismypresident,1
#donaltrump,#donalrequ,1
#fuckkamalaharris,#fuckrequ,1
#harris,#requ,1
#harris2028,#requ2028,1
#harrisWalz2024,#requWalz2024,1
#harriswalz2024,#requwalz2024,1
#maryltrump,#marylrequ,1
#nevertrump,#neverrequ,1
#nevertrumper,#neverrequer,1
#stoptrump,#stoprequ,1
#trumpIsNotMyPresident,#requIsNotMyPresident,1
#trump_base,#requ_base,1
#trump_petard,#requ_petard,1
#trumpisGUILTY,#requisGUILTY,1
#trumps_return,#requs_return,1
#trumps_view,#requs_view,1
#voteblueKamalaHarris,#votebluerequ,1
DONALD,requ,1
Donald J Trump,requ,1
Donald tRump,requ,1
DonaldTrump,requ,1
DumpTrump,Dumprequ,1
Dumptrump,Dumprequ,1
Kamala HArris,requ,1
Kamala---what,requ---what,1
KamalaHQ,requHQ,1
MacDonald,Macrequ,1
Never-Trumpers,Never-requers,1
Pro-Trump,Pro-requ,1
Trump-Harris,requ-requ,1
Trump-donating,requ-donating,1
TrumpGPT,requGPT,1
TrumpView,requView,1
Trumpageddon,requageddon,1
Trumpette,requette,1
Trumpflation,requflation,1
Trumpistan,requistan,1
Trumpster,requster,1
Trumpworld,requworld,1
anti-anti-Trumpers,anti-anti-requers,1
donald-trump-passport,requ-passport,1
pro-trump,pro-requ,1
tRUMP,requ,1
trump-free,requ-free,1
trumpets,requets,1
trumpian,requian,1
trumpist,requist,1
