candidate,phrase,type,post_count,example_1,example_2,example_3
Trump,trump,variant,35454,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.",Just in case you thought you were doing something other than helping elect Trump by voting for Jill Stein
Harris,harris,variant,9871,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I mean so do I, there's several people I'd want over Harris. That's...not the same as refusing to vote for or support Harris in THIS election.

Someone criticizing Harris for specific positions does not automatically equal ""will not vote for her""","All my doom and gloom aside. If Harris needs a boring, bland white guy to balance the ticket...I'm available."
Harris,kamala,variant,8371,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.",Kamala Harris is very good at this.
Trump,donald,variant,7605,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","Not to get too political on here, but I really hope that Donald Trump does not win the presidential election. 

I think that'd be bad!"
Trump,trumps,variant,522,donald trumps hiring people with the one qualification needed:  need to be pedophile,"You all do realize that this point we could literally get a restraining order against many of trumps picks to not be allowed near schools. You do realize that. 

LETS MAKE AMERICA GREAT. 

Yeah NOT THIS WAY",Seems like sexual assault is a pre-requisite to be on Trumps cabinet
Trump,mcdonald,variant,223,"Trump propagandists went full North Korea over his McDonald's stunt, but the story right now is all about his refusal to answer questions about the minimum wage.

On the pod, @anonymous is great on how Harris's life experiences inform her policy agenda:
https://anonymous","If You Want McDonald to go Prison, Vote for Harris and Democrats.",Ask yourself why Trump was like a dog with a bone about Kamala Harris’ McDonald’s job.   He couldn’t go a day without bitching about it and yet not a word about an assassination attempt on his life that left two dead.
Trump,trumpism,variant,154,"Jasmine Crockett is challenging Debbie Dingell for chairmanship of the Democratic Policy and Communications Committee. 

I’m sorry but this is a no-brainer. If we are going to defeat Trumpism we need to turn the page on our defunct comms strategies.

Let’s go, Jasmine!","I want my first viral post on Bluesky to be about how much I hate Trumpism.

It’s ruined this country.",I can’t help that Trumpism is a cult I can tell sane people to not focus on fringe issues.
Trump,trumpers,variant,141,Found out Nara Smith & her toothpick eating husband are trumpers 👎🏻,Trumpers are currently facing a very rude awakening…,"Just as there are ""Never Trumpers"" the there are also ""Never Trudeau""

Justin Trudeau could implement every single Policy that Poilievre is asking for - & ""Never Trudeau"" crowd would still hate Trudeau"
Trump,anti-trump,variant,116,"Anti-Trump protesters rally in U.S. cities. ""On Wednesday night, demonstrators took to the streets in Chicago, New York and Philadelphia to protest Trump’s win."" https://anonymous And D.C., Seattle, Pittsburgh, etc.",Kamala Harris ran a campaign that spent hundreds of millions of dollars courting anti-Trump Republicans. A group that is largely a figment of the Democrat’s imagination.,"My anti-Trump endorsement republished today at Ordinary Times:
ordinary-https://anonymous"
Trump,trumper,variant,73,"This extreme anti Trumper thinks we voted for Trump to keep the status quo. No motherfucker we voted for the fucking wrecking ball. Enough pillaging and stealing our natural treasure to enrich the UniParty. 

This applies to embezzlers from both sides.","Just had some idiot Trumper screaming at me about how a world without Dems would bring world peace, because yeah, Trump inciting violence, Trump's insurrection, threatening war crimes, and praising Hitler definitely shows the GOP is the party of peace.","Kamala getting near an Obama 08 level electoral performance would be so delicious for not just the Trumper tears but also the ""we need an open primary""/""she shoulda picked Shapiro""/""shes blowing it by not being anti-trans"" centrist crowd. how fucking great would that be to see them repudiated"
Harris,biden-harris,variant,51,"The Biden-Harris administration continues to move further to the right, is refusing to increase protections before Trump takes office, and Harris, a VP with no power and nothing to lose, has said nothing about the genocide. 

When people show you who they are, believe them.","CNN’s Kaitlin Collins: “With this speech and her earlier call conceding the race, #Harris is affording #Trump what he did not afford to the incoming Biden-Harris administration: a commitment to a peaceful transition of power and acknowledgment of a legitimate victory.”",Another Black federal judge confirmed! Biden-Harris Admin is delivering til the very end! ✊🏾
Harris,harris-walz,variant,47,"Please repost and drop a 💙 if you’re here, you voted for Harris-Walz, and you’re ready to keep fighting for our values. 

I’ll follow as many of you back today as I can. ✌️","Kansas, Missouri, Nebraska Teamsters endorse Harris-Walz ticket | via Anna Kaminski #ksleg",Red-state Democratic legislators praise Harris-Walz ticket for invigorating voters https://anonymous
Trump,trumpflation,variant,47,TRUMPFLATION TARIFFS,TRUMPFLATION OUT OF CONTROL,Brace yourself for Trumpflation.
Trump,trumpy,variant,45,"Boris Epshteyn being accused of pay-to-play is very Trumpy…

https://anonymous","I mean, even RFK Jr. said at least Hitler had a policy. Trumpy is just a walking-talking hypocrite with dementia. The way he keeps changing his whole mind, our only worry may just be(yet again) that he could send out nukes any second.","Take your own advice.

Trumpy will take credit for the lowest inflation and best economy in the world.

Same way he did after inheriting Obama’s economy.

That’s what he does. He only inherits monetary gains but will always blow it. Look at his bankruptcies, business venture failures, et cetera."
Trump,trumpian,variant,44,"Hey! First post, post election after nauseating results.

Can't take Elon's ""Toxic Trumpian Twitter"" any longer and will need an outlet to vent for 4 more nightmare years.

Please follow and will follow back as many as I can!","Hey! First post, post election after nauseating results.

Can't take Elon's ""Toxic Trumpian Twitter"" any longer and will need an outlet to vent for 4 more nightmare years.

Please follow and will follow back as many as I can!","This whole trumpian thing is starting to remind me of the film 'Clockwork Orange""...no pun intended😜"
