candidate,phrase,type,post_count,example_1,example_2,example_3
Trump,trump,variant,35454,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.",Just in case you thought you were doing something other than helping elect Trump by voting for Jill Stein
Harris,harris,variant,9871,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I mean so do I, there's several people I'd want over Harris. That's...not the same as refusing to vote for or support Harris in THIS election.

Someone criticizing Harris for specific positions does not automatically equal ""will not vote for her""","All my doom and gloom aside. If Harris needs a boring, bland white guy to balance the ticket...I'm available."
Harris,kamala,variant,8371,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.",Kamala Harris is very good at this.
Trump,donald,variant,7605,"I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","I don't see how you read ""We are withholding our endorsement out of fear that, should he win, Donald Trump will retaliate against our newspaper"" as anything but a giant ""VOTE KAMALA HARRIS!!!!!!!!"" statement.","Not to get too political on here, but I really hope that Donald Trump does not win the presidential election. 

I think that'd be bad!"
Trump,#trump,hashtag,936,"Trump’s Effort to Kill Off #MeToo—And the Women Who Help Him
#Trump","Election 2024: Presidential results
Former President Donald Trump will defeat Vice President Kamala Harris in a historic political comeback, recapturing the White House following an election loss in 2020, CNN projects.
#Trump#EleicoesEUA#Trump#SuperStarHongjoongDay
https://anonymous","Dus June Kii Raat 2024 Hindi Season 2
#Casa #Jean #trump#Estados #Biden#RoçaAFazenda#Cuba#Putin#MAGA#Musk
streamnscreen.blogspot.com"
Trump,trumps,variant,522,donald trumps hiring people with the one qualification needed:  need to be pedophile,"You all do realize that this point we could literally get a restraining order against many of trumps picks to not be allowed near schools. You do realize that. 

LETS MAKE AMERICA GREAT. 

Yeah NOT THIS WAY",Seems like sexual assault is a pre-requisite to be on Trumps cabinet
Harris,#kamalaharris,hashtag,297,"“Kamala, you didn’t just run—you thundered. You made racism flinch, sexism stammer, and the sky crack open for the next. Even without the win, you rose, showed us how to carve a path with nothing but grit and grace. The climb is ours now, and we will not stop.”©️MustafaSantiagoAli #Poem #KamalaHarris","I miss #KamalaHarris and #TimWalz 

Their jokes, the joy, the ""mind your own damm business"" comments. 

Just realized I miss it. 

#Resistance 
#FBR",Heroine of the day: #KamalaHarris
Trump,mcdonald,variant,223,"Trump propagandists went full North Korea over his McDonald's stunt, but the story right now is all about his refusal to answer questions about the minimum wage.

On the pod, @anonymous is great on how Harris's life experiences inform her policy agenda:
https://anonymous","If You Want McDonald to go Prison, Vote for Harris and Democrats.",Ask yourself why Trump was like a dog with a bone about Kamala Harris’ McDonald’s job.   He couldn’t go a day without bitching about it and yet not a word about an assassination attempt on his life that left two dead.
Trump,#fucktrump,hashtag,208,#FuckTrump #MAGA #MAGAts #MAGACultMorons,#FuckTrump #MAGA #MAGAts #MAGACultMorons,"I only wish that tRumpublicans and the Conservative Christians would believe in this philosophy. 
#transgenderrights #fucktrump #fuckproject2025"
Trump,#donaldtrump,hashtag,187,"Who will become the next US President? The one who “worked” there when it was actually closed or the one who worked there to pay for her student loan?

https://anonymous

#Obama #KamalaHarris #DonaldTrump #McDonalds","THAT'S RIGHT!!! WE WANT 'NOTHING' TO DO WITH THEM! THEY'RE THE ENEMY AS FAR AS I'M CONCERNED!!

Charles Barkley agrees it’s ‘crazy’ Kamala voters want nothing to do with Trump voters #DonaldTrump #KamalaHarris #Bluestates #Basketball #Presidentialelection
https://anonymous","KAMALA HARRIS 2024!!!! 
🇺🇲 ❤️

Kamala Harris counters Trump's message that the president should have a say in Fed decisions #DonaldTrump #KamalaHarris #Interestrates #Presidentialelection
https://anonymous"
Harris,#harriswalz2024,hashtag,165,"Not much of a meme poster but this one hits the mark. 

#HarrisWalz2024","https://anonymous

#HarrisWalz2024 
#DemocracyMatters",#WeBackKamalaHarris🇺🇲🌊💙🇵🇷  #HarrisWalz2024 🇺🇲🌊💙🇵🇷🇺🇦🇯🇴🤲🏿🌿 #EbonyAmericaVoteBlue2024🌊💙🌊💙 #WomansRightToChoose💪🏾💅🏾#TaylorSwiftForKamalaWalz2024 🐈💅🏾💪🏾
Trump,trumpism,variant,154,"Jasmine Crockett is challenging Debbie Dingell for chairmanship of the Democratic Policy and Communications Committee. 

I’m sorry but this is a no-brainer. If we are going to defeat Trumpism we need to turn the page on our defunct comms strategies.

Let’s go, Jasmine!","I want my first viral post on Bluesky to be about how much I hate Trumpism.

It’s ruined this country.",I can’t help that Trumpism is a cult I can tell sane people to not focus on fringe issues.
Trump,trumpers,variant,141,Found out Nara Smith & her toothpick eating husband are trumpers 👎🏻,Trumpers are currently facing a very rude awakening…,"Just as there are ""Never Trumpers"" the there are also ""Never Trudeau""

Justin Trudeau could implement every single Policy that Poilievre is asking for - & ""Never Trudeau"" crowd would still hate Trudeau"
Harris,#kamala,hashtag,132,We needed to have #msm #celebration of #JoeBiden #Kamala instead of climbing up Trumps butt parroting him constantly. You will never see them do this with #DoofusDrumpf.,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans
