target,label,phrase,ngram,df_class,df_other,df_total,log_odds,rank
Harris,Favor,felons and,2,74,0,74,5.719283658350962,1
Harris,Favor,way my,2,73,0,73,5.705290092725896,2
Harris,Favor,against adjudicated,2,72,0,72,5.6911116320515855,3
Harris,Favor,and insurrection,2,72,0,72,5.6911116320515855,4
Harris,Favor,inciting racists,2,72,0,72,5.6911116320515855,5
Harris,Favor,insurrection inciting,2,72,0,72,5.6911116320515855,6
Harris,Favor,racists always,2,72,0,72,5.6911116320515855,7
Harris,Favor,rapists convicted,2,72,0,72,5.6911116320515855,8
Harris,Favor,vote cast,2,72,0,72,5.6911116320515855,9
Harris,Favor,about dem,2,37,0,37,5.015222727889676,10
Harris,Favor,and eloquently,2,36,0,36,4.987722579774022,11
Harris,Favor,beautifully and,2,36,0,36,4.987722579774022,12
Harris,Favor,eloquently https,2,36,0,36,4.987722579774022,13
Harris,Favor,result isn,2,36,0,36,4.987722579774022,14
Harris,Favor,they delivered,2,36,0,36,4.987722579774022,15
Harris,Favor,cast my,2,31,0,31,4.838043814965856,16
Harris,Favor,and expect,2,30,0,30,4.8053128069937925,17
Harris,Favor,asshole but,2,29,0,29,4.771506461905523,18
Harris,Favor,earnest or,2,29,0,29,4.771506461905523,19
Harris,Favor,easily undo,2,29,0,29,4.771506461905523,20
Harris,Favor,fascism am,2,29,0,29,4.771506461905523,21
Harris,Favor,good only,2,29,0,29,4.771506461905523,22
Harris,Favor,headed right,2,29,0,29,4.771506461905523,23
Harris,Favor,only under,2,29,0,29,4.771506461905523,24
Harris,Favor,sounding too,2,29,0,29,4.771506461905523,25
Harris,Against,internal,1,10,4,14,2.723657087158461,1
Harris,Against,genocide in,2,14,6,20,2.6830597114460684,2
Harris,Against,the genocide,2,27,13,40,2.6064243414305635,3
Harris,Against,for genocide,2,12,6,18,2.5322798232267036,4
Harris,Against,center right,2,10,6,16,2.35557210892029,5
Harris,Against,genocidal,1,11,7,18,2.304439366487654,6
Harris,Against,yelling at,2,11,7,18,2.304439366487654,7
Harris,Against,does she,2,10,7,17,2.2122911175579976,8
Harris,Against,lost and,2,10,7,17,2.2122911175579976,9
Harris,Against,on trans,2,11,8,19,2.1790960433529802,10
