target,k,n,macro_f1,delta_macro_f1,flip_rate_vs_full,mean_full_class_probability_change,mean_absolute_probability_change,full_context_macro_f1
Harris,1,372,0.4092848110564023,-0.30719342975871927,0.44086021505376344,-0.3180609,0.2901635,0.7164782408151216
Harris,2,372,0.5509074811863656,-0.165570759628756,0.3333333333333333,-0.23505504,0.2253485,0.7164782408151216
Harris,3,372,0.5967693931773521,-0.11970884763776946,0.27956989247311825,-0.17860445,0.18469574,0.7164782408151216
Harris,4,372,0.6269310802330634,-0.08954716058205814,0.20430107526881722,-0.13185231,0.15257548,0.7164782408151216
Harris,5,372,0.6384372177055103,-0.07804102310961125,0.17204301075268819,-0.102823116,0.12196286,0.7164782408151216
Harris,6,372,0.6724093285948475,-0.04406891222027409,0.12903225806451613,-0.07217413,0.08827638,0.7164782408151216
Harris,7,372,0.714877487332577,-0.0016007534825445147,0.056451612903225805,-0.019839903,0.043357402,0.7164782408151216
Trump,1,349,0.40840772215477633,-0.21634717980600787,0.5100286532951289,-0.47795826,0.32970992,0.6247549019607842
Trump,2,349,0.47273060480787193,-0.15202429715291227,0.27507163323782235,-0.2725472,0.19390482,0.6247549019607842
Trump,3,349,0.5265244147100687,-0.09823048725071548,0.16332378223495703,-0.16431281,0.120588794,0.6247549019607842
Trump,4,349,0.5318516959310519,-0.09290320602973234,0.10028653295128939,-0.087962024,0.068604454,0.6247549019607842
Trump,5,349,0.5205182863113897,-0.10423661564939446,0.054441260744985676,-0.049821243,0.042818516,0.6247549019607842
Trump,6,349,0.5549986076301866,-0.0697562943305976,0.034383954154727794,-0.026800271,0.027566858,0.6247549019607842
Trump,7,349,0.6081319651329582,-0.016622936827826007,0.011461318051575931,-0.011729866,0.011879169,0.6247549019607842
