condition,mean_original_class_probability_change,mean_absolute_probability_change
target_masked,-0.07821742,0.07266428
target_swapped,-0.6227882,0.4433373
candidate_mentions_masked,-0.33643362,0.2580362
lexical_cues_top10_masked,-0.0019251708,0.0019419765
lexical_cues_top25_masked,-0.0013954064,0.0037802127
candidate_mentions_control_seed1,-0.017865423,0.021952832
lexical_cues_top10_control_seed1,-5.5675428e-05,0.0010174011
lexical_cues_top25_control_seed1,-0.0018263418,0.0026822416
candidate_mentions_control_seed2,-0.019963078,0.022105208
lexical_cues_top10_control_seed2,-0.00033802591,0.0009431351
lexical_cues_top25_control_seed2,-0.00188585,0.0025275177
candidate_mentions_control_seed3,-0.017806904,0.023215868
lexical_cues_top10_control_seed3,-0.0006181674,0.0011570356
lexical_cues_top25_control_seed3,-0.0015250175,0.002292944
candidate_mentions_control_seed4,-0.020036712,0.022532202
lexical_cues_top10_control_seed4,-0.0011484502,0.0014177269
lexical_cues_top25_control_seed4,-0.0025174115,0.003312076
candidate_mentions_control_seed5,-0.018549802,0.021903733
lexical_cues_top10_control_seed5,-0.0016058853,0.0018129117
lexical_cues_top25_control_seed5,-0.0016217746,0.0028221167
