target,k,n,macro_f1,delta_macro_f1,flip_rate_vs_full,mean_full_class_probability_change,mean_absolute_probability_change,full_context_macro_f1
Harris,1,372,0.30447012246175426,-0.23319613405084955,0.46236559139784944,-0.15209272908689528,0.23411817863798765,0.5376662565126038
Harris,2,372,0.3828564476441622,-0.1548098088684416,0.3844086021505376,-0.11832215379127403,0.18579160274490952,0.5376662565126038
Harris,3,372,0.4364481445372654,-0.10121811197533842,0.3172043010752688,-0.09629597676242418,0.14983606470931762,0.5376662565126038
Harris,4,372,0.4601870525153308,-0.07747920399727298,0.260752688172043,-0.07293248625001357,0.11588273469752698,0.5376662565126038
Harris,5,372,0.47849955383737414,-0.059166702675229665,0.20430107526881722,-0.05321933728721576,0.09292286781682899,0.5376662565126038
Harris,6,372,0.5236962643185382,-0.013969992194065584,0.1532258064516129,-0.03432754090331674,0.0676420042016013,0.5376662565126038
Harris,7,372,0.5266983658523255,-0.010967890660278257,0.08064516129032258,-0.014182471350235395,0.036617177226611876,0.5376662565126038
Trump,1,349,0.40728335991493886,-0.011220395609885525,0.10888252148997135,-0.13568164174399505,0.11606425391462731,0.4185037555248244
Trump,2,349,0.41770510756018003,-0.0007986479646443501,0.10315186246418338,-0.13801408727296344,0.10877328848964897,0.4185037555248244
Trump,3,349,0.3746729461015175,-0.04383080942330686,0.05730659025787966,-0.10128441552779181,0.08346683615504075,0.4185037555248244
Trump,4,349,0.3899240855762595,-0.028579669948564868,0.025787965616045846,-0.070738281164016,0.06235372222673257,0.4185037555248244
Trump,5,349,0.4038760983205427,-0.014627657204281663,0.02005730659025788,-0.04588437529618532,0.04435217835135436,0.4185037555248244
Trump,6,349,0.416289592760181,-0.002214162764643368,0.025787965616045846,-0.026347086962540504,0.02918668471195617,0.4185037555248244
Trump,7,349,0.4291575091575092,0.010653753632684837,0.008595988538681949,-0.008569538364482699,0.012486794934221725,0.4185037555248244
