condition,macro_f1,delta_macro_f1,flip_rate
original,0.734788082001554,0.0,0.0
target_masked,0.7181425393961508,-0.016645542605403185,0.052808988764044947
target_swapped,,,0.13820224719101123
candidate_mentions_masked,0.5891686249348599,-0.1456194570666941,0.2752808988764045
lexical_cues_top10_masked,0.7323985267266617,-0.0023895552748922633,0.0022471910112359553
lexical_cues_top25_masked,0.7309240410141845,-0.003864040987369477,0.0033707865168539327
candidate_mentions_control_seed1,0.7300080266383698,-0.004780055363184155,0.011235955056179775
lexical_cues_top10_control_seed1,0.7329713493774426,-0.0018167326241114168,0.0033707865168539327
lexical_cues_top25_control_seed1,0.7299096334807745,-0.004878448520779455,0.0056179775280898875
candidate_mentions_control_seed2,0.7290588610942229,-0.0057292209073310785,0.014606741573033709
lexical_cues_top10_control_seed2,0.7333135071326099,-0.0014745748689440896,0.0011235955056179776
lexical_cues_top25_control_seed2,0.7318367542367273,-0.00295132776482665,0.0022471910112359553
candidate_mentions_control_seed3,0.7362065585201668,0.0014184765186128212,0.008988764044943821
lexical_cues_top10_control_seed3,0.7333135071326099,-0.0014745748689440896,0.0011235955056179776
lexical_cues_top25_control_seed3,0.7303577770150934,-0.004430304986460576,0.0033707865168539327
candidate_mentions_control_seed4,0.7352622240696159,0.0004741420680619557,0.015730337078651686
lexical_cues_top10_control_seed4,0.7320165910273699,-0.0027714909741840543,0.0022471910112359553
lexical_cues_top25_control_seed4,0.7312695610129332,-0.0035185209886208213,0.0044943820224719105
candidate_mentions_control_seed5,0.7307237934690782,-0.004064288532475757,0.015730337078651686
lexical_cues_top10_control_seed5,0.7333135071326099,-0.0014745748689440896,0.0011235955056179776
lexical_cues_top25_control_seed5,0.732750805417972,-0.002037276583581993,0.0033707865168539327
