condition,mean_original_class_probability_change,mean_absolute_probability_change
target_masked,-0.04044275699278797,0.03917887543958961
target_swapped,-0.09212172916770724,0.08563459354014862
candidate_mentions_masked,-0.19027270541084101,0.16117230211624511
lexical_cues_top10_masked,-0.00023669638611653553,0.002435003080546039
lexical_cues_top25_masked,0.00037794548054606044,0.004548196504089319
candidate_mentions_control_seed1,0.0035145151371309647,0.00982710444520436
lexical_cues_top10_control_seed1,-0.0009974908003654134,0.0015403329227670003
lexical_cues_top25_control_seed1,-0.0008533933710633805,0.0028688125025295016
candidate_mentions_control_seed2,0.003046837730670227,0.010237390903984837
lexical_cues_top10_control_seed2,-0.0009284187643017918,0.0015823807954503863
lexical_cues_top25_control_seed2,-0.0012635866105915378,0.002723095745421128
candidate_mentions_control_seed3,0.003696623586629668,0.009316487749192666
lexical_cues_top10_control_seed3,-0.001273593276359539,0.0016650876498063858
lexical_cues_top25_control_seed3,-0.0013948653667726608,0.0026853521215023045
candidate_mentions_control_seed4,0.00294537868293602,0.010305509798588965
lexical_cues_top10_control_seed4,-0.0012187407599634167,0.0016816081915707309
lexical_cues_top25_control_seed4,-0.0014065459437505958,0.002894011724997926
candidate_mentions_control_seed5,0.003706162626096556,0.010201277340955725
lexical_cues_top10_control_seed5,-0.0009523413580664403,0.0015414995548743485
lexical_cues_top25_control_seed5,-0.000998123125784557,0.0029827624328790563
